#{"t_start": 1701078767.9973032, "env_id": "None"}
r,l,t
0.01793,359,4.119348
0.001665,49,4.90388
0.0,50,5.712327
0.0,55,6.722639
0.643037,710,14.880403
0.005051,58,15.789649
0.0,49,16.638728
0.010043,55,17.587268
0.006612,411,22.343931
1.599164,658,29.803852
0.0,53,30.723627
0.006364,49,31.603683
0.007999,54,32.555454
0.121614,273,35.688586
0.0,59,36.611887
0.0,44,37.424747
0.0,151,39.532097
0.0,210,42.016777
0.0,56,42.878018
0.002687,57,43.80843
0.006341,50,44.636198
0.0,51,45.518113
0.005973,53,46.419649
0.0,59,47.382311
0.003533,44,48.187159
0.0,44,49.004137
0.0,53,49.940993
0.003188,62,50.980175
0.005223,264,54.340685
0.042234,169,56.376058
0.0,51,57.234473
0.003675,52,58.140288
0.0,49,59.04096
0.0,271,62.30835
0.002246,47,63.173658
0.0,137,65.081138
0.0,50,66.009736
0.0,51,66.882542
0.0,299,70.188757
0.005976,52,71.136226
0.006846,58,72.145179
0.52686,334,75.992915
0.0,45,76.844843
0.0,41,77.680937
0.006583,46,78.462429
0.0,51,79.33442
0.0,54,80.454056
0.0,50,81.871853
0.0,52,83.047921
1.02548,1001,95.451558
0.0,476,101.122008
0.000456,63,102.209357
0.0,63,103.26141
0.007876,61,104.223729
0.000371,60,105.272859
0.006317,141,107.060938
0.005882,50,107.996244
0.0,44,108.878082
0.0,44,109.756324
0.006034,186,112.328982
0.0,87,113.719129
0.0,49,114.674927
0.800418,189,117.250803
0.0,53,118.311494
0.843375,158,120.34975
0.0,727,128.828092
0.000878,370,133.207007
0.0,143,136.150115
0.101856,209,140.892112
0.0,51,142.711565
0.002257,50,144.532514
0.524261,290,150.815867
0.021786,231,156.0948
0.714512,214,160.723031
0.167399,188,164.597918
0.0,39,165.676627
0.008086,155,168.926395
0.010117,60,170.428701
0.0,56,171.852715
0.004412,54,173.22321
0.0,92,175.32963
0.13948,194,179.440692
1.882482,181,183.242545
0.044532,78,185.035262
0.798392,356,192.323519
0.056724,259,197.571547
0.00484,104,199.881321
0.037833,101,202.184281
0.0,59,203.677587
0.0,59,205.1625
0.002021,53,206.542279
0.0,52,207.910206
0.0,58,209.404775
0.0,135,212.365819
0.0,55,213.756185
0.000975,77,215.567118
0.0,63,217.107996
0.0,56,218.556416
0.000972,44,219.773201
0.305746,201,223.974411
0.007067,271,229.426288
0.0,48,230.687696
0.001862,57,232.11745
0.000156,52,233.452868
0.002387,48,234.736387
0.0,54,236.135617
0.0,53,237.50436
0.000613,145,240.666396
0.0,46,241.892888
0.646273,201,246.043557
0.0,71,247.709798
0.244515,399,255.456835
0.0,297,261.478384
0.0,50,262.817797
0.0,171,266.486344
0.001426,221,271.062835
0.0,61,272.588709
0.0,143,275.672309
0.37434,219,280.169255
0.003484,57,281.622725
0.0,58,283.102763
1.130767,296,289.341971
0.0,72,291.239434
0.001516,50,292.677135
0.010518,184,296.942218
0.0,185,301.043463
0.518243,141,304.05697
0.195207,101,306.275811
0.001645,137,309.552971
0.0,48,310.845933
0.00673,137,313.732255
0.0,103,315.865082
0.0,53,317.126142
0.006518,132,319.786717
0.0,71,321.466938
0.0,245,326.104115
0.0,160,329.232062
0.004593,103,331.368828
0.0,92,333.348879
0.015908,95,335.373094
0.0,162,338.538709
0.0,63,340.048322
0.0,123,342.64516
1.9e-05,76,344.384558
0.002627,182,347.975619
0.050078,99,350.053936
0.00832,205,353.961738
0.0,58,355.3538
0.008307,142,358.157724
0.004888,57,359.525985
0.330201,259,364.357155
0.959508,135,367.136801
0.005006,103,369.379996
0.004742,68,370.923502
0.00514,161,374.139016
0.006222,148,377.093917
0.003503,410,384.603752
0.3651,176,388.063977
0.0,53,389.321837
0.326292,93,391.384529
3.6e-05,186,395.110871
0.799144,293,400.620384
0.019295,120,403.060902
0.0,167,406.342849
0.1554,107,408.542449
1.508398,270,413.530924
0.0,65,414.986422
0.0,86,416.897589
1.203979,317,422.971028
0.251097,165,426.291703
0.004259,105,428.584874
0.0,139,431.497905
0.007662,102,433.775367
0.0,72,435.468573
0.001696,268,440.696762
0.0,66,442.210775
0.142123,343,448.719767
0.400143,136,451.541933
0.0,114,453.943571
0.0,53,455.241248
0.0,103,457.408664
0.0,57,458.744208
0.0,179,462.269123
0.00377,100,464.378422
0.071132,234,468.868494
0.159043,111,471.128958
0.001094,54,472.413585
0.16144,251,477.111022
0.0,69,478.667564
0.0,64,480.126516
0.005359,115,482.469281
0.0,85,484.263654
0.0,171,487.560664
0.0,64,488.99242
0.002251,115,491.356505
0.082172,156,494.51108
6.3e-05,58,495.920383
0.0,62,497.381908
0.0,79,499.130999
0.000536,63,500.62542
0.006265,134,503.289667
0.00441,50,504.553533
0.003529,98,506.627494
0.001514,60,508.087177
0.0,156,511.199392
0.004677,279,516.485584
0.008166,94,518.48836
0.0,104,520.660091
0.004571,69,522.218776
0.001264,141,524.997426
0.0,127,527.56354
0.000201,152,530.618406
0.00222,148,533.561499
0.0,160,536.718311
0.0,247,541.332405
0.005993,106,543.509817
0.011413,171,546.810357
0.004624,50,548.076316
0.00106,103,550.233125
0.004243,105,552.524589
0.00669,118,554.916392
0.008224,299,560.533261
0.05946,140,563.347811
0.140628,180,566.806184
0.001695,123,569.310699
1.242681,334,575.43398
0.005232,202,579.322391
0.037225,109,581.56969
0.00026,109,583.803207
0.329269,188,587.434625
0.129781,183,590.943205
0.008881,237,595.403265
0.278653,185,598.959544
0.008054,102,601.077736
0.129683,166,604.261736
0.021249,208,608.203998
0.005141,304,613.79082
0.45112,240,618.270508
0.006906,59,619.648315
0.01593,103,621.826182
0.609242,137,624.583546
0.007576,67,626.130335
0.007284,103,628.280119
0.031939,111,630.552145
0.425493,220,634.699648
0.008332,129,637.338085
0.007997,91,639.309154
0.010442,186,643.342401
0.548139,218,647.63403
1.431799,371,654.411618
0.010229,177,657.806369
2.095335,415,665.609444
0.009839,237,670.210921
0.192918,124,672.813704
0.007493,187,676.538933
0.005303,116,678.995332
0.003736,281,684.309843
0.207201,204,688.299002
0.006891,51,689.57973
0.427188,177,693.125049
0.004575,369,700.023265
0.004282,140,702.887777
0.299626,229,707.311484
0.000657,244,711.95555
0.149311,174,715.398051
0.008865,148,718.350736
0.008271,192,722.059079
0.009047,119,724.56528
0.00684,151,727.623937
0.876757,198,731.45482
0.225656,346,737.99862
0.20088,154,741.033323
0.181938,378,748.059175
0.534614,186,751.626656
0.004336,118,754.047418
0.005963,128,756.726318
0.005651,126,759.281998
0.008583,201,763.224243
1.005071,574,774.181993
0.007022,148,777.182264
0.006013,284,782.5931
0.003302,100,784.794635
0.070122,168,788.032894
0.054176,139,790.838584
0.006536,108,793.125374
0.003231,336,799.670744
0.006544,121,802.529552
0.007143,134,805.271744
0.003011,291,810.642849
0.005684,126,813.257013
0.007534,190,816.904437
0.008825,148,819.790989
0.000747,92,821.745442
0.006551,127,824.359234
0.007074,168,827.651681
0.008607,199,831.46383
0.004918,189,835.103704
0.002159,189,838.743844
0.017617,206,843.020537
0.000321,196,847.249315
0.00228,144,850.439761
0.000637,213,854.98002
0.003268,193,859.402448
0.005895,672,872.657895
0.005553,371,879.86935
0.000195,196,883.656931
0.0,195,887.522038
0.002424,355,894.968071
0.000526,198,899.249106
0.002538,421,907.500943
0.002898,200,911.54917
0.0,362,918.621749
0.036341,387,926.716489
0.00113,364,934.077526
0.0,146,937.225069
0.000846,410,944.973678
0.0007,340,951.608413
0.0,214,955.986127
0.0,460,964.960354
0.0,222,969.538661
0.334499,328,976.028603
0.000194,144,979.069468
0.000587,153,982.305738
0.573015,170,985.932986
0.0,186,989.685869
0.0,59,991.095979
0.001684,226,995.529625
0.05394,279,1000.957825
0.0,132,1003.812351
0.0,279,1009.334994
1.053516,556,1019.891687
0.462154,242,1024.806569
0.0,274,1030.293977
1.880048,551,1040.979824
0.056427,197,1044.958899
4e-05,218,1049.323099
2.067361,396,1057.138197
0.0,216,1061.704767
0.673613,329,1068.435857
0.445364,221,1072.847341
0.936721,148,1075.878008
0.790789,182,1079.582907
0.0,122,1082.217342
0.0,95,1084.371186
0.256448,610,1096.146382
0.290248,464,1105.2346
0.164573,306,1111.235759
0.002296,407,1119.159697
0.000932,478,1128.745946
0.332892,400,1136.711521
0.019202,254,1141.870347
0.004264,107,1144.313256
0.001798,246,1149.271805
1.822096,443,1157.916294
0.105293,391,1165.545676
2.634967,285,1171.296188
0.13284,346,1178.259771
0.001319,377,1185.530725
0.083299,500,1195.334699
0.049829,344,1202.028079
1.172088,197,1206.122623
1.326252,305,1212.130035
0.638759,546,1222.674614
0.002932,242,1227.704212
2.300221,435,1236.100418
0.998832,186,1239.948313
0.948264,189,1243.841741
0.004108,281,1249.38008
1.082684,136,1252.226799
0.004807,308,1258.149133
2.154291,464,1267.370285
0.422176,257,1272.612083
0.619621,255,1277.661813
0.076974,507,1287.353852
0.008436,147,1290.468314
0.667385,142,1293.537635
1.663518,447,1302.318146
0.282411,226,1306.95636
0.206984,352,1313.991752
0.715372,496,1323.478146
0.005368,318,1329.792638
2.36903,285,1335.583214
0.020602,907,1352.808337
0.006341,217,1357.300796
2.286483,277,1362.819985
0.31456,231,1367.608261
0.788747,271,1373.156741
0.412026,140,1376.112843
0.009969,135,1379.054654
0.023266,363,1386.173234
0.888395,674,1398.963069
1.133122,139,1402.000272
0.583189,312,1408.335232
1.476644,420,1416.440819
1.211827,206,1420.614831
